Sample Site Name,From,To,Mid Depth X,Mid Depth Y,Mid Depth Z,RASH,RFSI,TTHICK,ASEAM
D455,190.80,193.70,1157.50,2736.10,1595.55,35.2,4.0,,4JG
D456,83.80,84.40,1172.20,2436.00,1741.60,,,,3UB
D456,101.60,106.20,1172.20,2436.00,1721.80,18.6,5.5,4.59,3L1
D456,116.80,119.30,1172.20,2436.00,1707.65,26.6,4.0,,3LA
D456,154.90,173.30,1172.20,2436.00,1661.60,6.8,7.0,18.26,4JG
D457,0.10,2.20,826.00,3030.80,1855.05,,,2.10,K4
D457,14.00,15.20,826.00,3030.80,1841.60,,,,3UB
D457,71.60,76.80,826.00,3030.80,1782.00,16.5,5.5,4.68,3L1
D457,90.00,91.20,826.00,3030.80,1765.60,26.7,6.5,0.98,3LA
D457,100.00,112.80,826.00,3030.80,1749.80,6.8,7.5,10.63,4JG
D538,28.30,90.90,221.44,2340.76,2142.64,19.3,5.0,,7R
D541,109.60,117.90,211.92,2525.42,2088.42,15.4,7.5,7.16,7R
D541,162.40,178.00,177.60,2523.92,2043.62,,,14.69,8R
D563,8.40,29.10,203.47,2733.86,2139.39,12.5,5.0,,7R
D563,84.40,104.20,162.84,2747.76,2077.28,11.1,3.0,10.31,8R
D564,27.60,32.30,70.55,2778.30,2181.46,13.6,6.5,,10A
D565,60.60,67.10,70.92,2709.93,2144.37,12.5,4.0,3.28,10A
D566,2.90,10.60,71.66,2721.34,2202.18,10.3,0.1,,10A
D567,0.00,4.10,71.06,2677.27,2206.65,13.4,0.1,,10A
D568,31.90,37.80,72.20,2594.10,2180.20,17.8,0.1,,10A
D570,63.80,86.70,212.54,2620.64,2094.47,14.9,6.1,22.72,7R
D570,129.10,144.20,176.84,2627.58,2045.04,,,15.01,8R
D571,34.60,50.40,256.50,2292.53,2130.46,16.8,2.0,14.84,7R
D572,0.00,8.90,197.78,2543.14,2203.69,20.2,0.1,,7R
D572,54.50,80.10,160.04,2546.58,2153.56,,,23.28,8R
R9,53.50,55.50,1067.20,2234.80,1804.90,17.9,3.0,,3UB
R9,100.60,104.20,1067.20,2234.80,1757.00,33.8,2.0,3.56,3L1
R16,4.90,6.10,874.80,1707.30,1929.40,,,,3UB
R16,64.60,68.40,874.80,1707.30,1868.40,17.8,0.1,3.53,3L1
R16,100.60,102.40,874.80,1707.30,1833.40,,,,4JG
R17,40.50,48.10,1154.00,2872.00,1728.40,8.0,7.0,,K4
R17,61.30,62.70,1154.00,2872.00,1710.70,,,,3UB
R20,86.00,86.90,1146.20,2549.70,1740.15,,,,3UB
R23,61.60,66.00,732.90,2139.90,1939.90,8.0,6.0,3.91,3L1
R23,92.60,95.00,732.90,2139.90,1909.90,33.9,0.1,2.12,3LA
R23,121.50,131.00,732.90,2139.90,1877.45,15.5,8.5,6.91,4JG
R70,245.00,253.60,516.30,1881.90,1840.80,,,5.30,7R
R70,351.40,366.10,516.30,1881.90,1731.35,,,10.81,8R
R73,274.90,285.90,517.10,2041.20,1839.80,,,,7R
R73,406.60,422.50,517.10,2041.20,1705.65,,,,8R
R78,46.30,47.90,1105.90,1799.80,1868.20,,,1.56,K4
R78,153.00,156.00,1105.90,1799.80,1760.80,23.7,4.5,2.94,3L1
R78,164.90,171.90,1105.90,1799.80,1746.90,17.3,5.5,,3LA
R82,65.20,72.70,935.00,3201.80,1714.45,30.2,1.0,,3L1
R82,84.00,85.60,935.00,3201.80,1698.60,,,,3LA
R85,35.70,40.80,613.00,2520.90,2001.35,9.4,6.0,4.35,3L1
R85,46.90,48.20,613.00,2520.90,1992.05,17.8,6.0,,3LA
R86,56.70,61.00,745.70,2474.20,1882.55,17.4,5.5,3.20,3L1
R303,95.70,97.10,1053.40,2476.60,1764.50,25.8,6.5,,3UB
R303,143.60,145.80,1053.40,2476.60,1716.20,35.4,1.5,2.13,3L1
R303,191.70,197.70,1053.40,2476.60,1666.20,,,5.75,4JG
R304,61.90,64.10,943.60,2638.40,1798.80,,,,3UB
R304,111.70,114.70,943.60,2638.40,1748.60,26.6,4.0,2.56,3L1
R304,135.10,137.50,943.60,2638.40,1725.50,,,,3LA
R305,42.60,49.30,758.70,2365.70,1891.85,23.5,4.5,5.48,3L1
R305,74.00,75.90,758.70,2365.70,1862.85,31.4,5.5,1.52,3LA
R305,86.90,94.50,758.70,2365.70,1847.10,25.2,7.0,5.91,4JG
R306,23.10,25.10,1126.10,2113.80,1820.40,21.2,7.0,1.89,K4
R306,43.80,45.80,1126.10,2113.80,1799.70,16.4,1.0,,3UB
R306,79.20,80.10,1126.10,2113.80,1764.85,22.0,7.5,0.90,3L1
R306,85.10,88.20,1126.10,2113.80,1757.85,23.1,7.0,3.08,3LA
R308,23.50,26.30,824.00,1976.40,1953.60,,,,3UB
R308,94.00,102.20,824.00,1976.40,1880.40,17.2,4.0,6.85,3L1
R308,113.70,116.90,824.00,1976.40,1863.20,22.0,2.0,,3LA
R309,17.50,18.30,700.20,2661.00,1951.30,25.9,0.1,,3UB
R309,81.00,87.70,700.20,2661.00,1884.85,22.8,6.5,4.93,3L1
R309,111.50,122.70,700.20,2661.00,1852.10,20.2,7.0,8.60,4JG
R311,84.70,85.60,1147.20,2557.90,1741.35,16.0,8.0,,3UB
R311,102.50,105.50,1147.20,2557.90,1722.50,,,2.99,3L1
R311,125.90,128.80,1147.20,2557.90,1699.15,26.5,5.0,,3LA
R312,68.00,70.70,1196.40,3116.20,1684.85,,,,3UB
R312,133.90,136.70,1196.40,3116.20,1618.90,26.9,4.0,2.70,3L1
R312,188.80,193.70,1196.40,3116.20,1562.95,,,,4JG
R313,8.70,15.00,875.30,2966.00,1838.05,,,5.64,K4
R313,34.10,36.60,875.30,2966.00,1814.55,19.8,5.5,,3UB
R313,96.30,101.20,875.30,2966.00,1751.15,22.7,6.0,4.17,3L1
R313,112.50,113.30,875.30,2966.00,1737.00,,,0.70,3LA
R313,120.80,128.70,875.30,2966.00,1725.15,23.5,6.0,6.73,4JG
R314,63.00,67.20,1269.10,2390.10,1718.70,21.0,4.0,4.15,3L1
R314,77.40,79.80,1269.10,2390.10,1705.20,30.1,4.5,,3LA
R314,119.00,124.20,1269.10,2390.10,1662.20,,,5.20,4JG
R315,32.50,63.30,223.40,2660.50,2101.20,21.3,6.5,30.36,7R
R315,121.10,133.80,223.40,2660.50,2021.65,15.9,2.0,12.07,8R
R315,217.50,219.60,223.40,2660.50,1930.55,,,,10A
R336,20.20,28.60,897.00,2689.90,1842.60,10.7,0.1,7.31,K4
R337,0.00,0.10,856.80,2737.00,1873.05,,,0.09,K4
R337,29.70,30.70,856.80,2737.00,1842.90,34.6,0.1,,3UB
R338,19.50,26.30,912.70,2757.60,1829.20,13.5,9.0,5.89,K4
R339,38.90,46.60,991.90,2759.10,1794.05,10.4,1.0,7.21,K4
R340,17.20,23.20,907.00,2818.80,1828.20,4.7,2.0,5.21,K4
R341,8.70,17.80,880.80,2935.20,1836.65,7.6,0.1,8.07,K4
R342,14.50,22.10,947.10,3009.00,1801.10,8.2,4.0,,K4
R343,36.50,42.90,1036.50,3003.10,1758.40,7.0,4.0,5.88,K4
R345,2.10,12.00,923.60,3053.20,1812.65,17.0,0.1,8.57,K4
R346,14.90,22.80,993.70,3063.90,1779.25,9.9,3.5,7.05,K4
R347,9.00,18.00,991.70,3123.70,1783.70,14.2,0.5,8.29,K4
R348,29.60,36.60,942.70,2831.90,1807.50,9.0,3.0,6.32,K4
R349,42.00,48.80,991.70,2834.80,1787.20,9.0,3.0,6.33,K4
R350,38.40,45.00,956.90,2905.40,1798.90,7.8,0.1,,K4
R351,42.60,48.60,1096.00,3026.70,1739.80,10.9,5.5,5.76,K4
R352,55.10,61.50,1059.20,2960.30,1753.70,9.4,6.5,5.97,K4
R353,51.80,57.40,1116.70,2973.90,1731.20,11.7,6.5,,K4
R354,50.80,57.80,1005.70,2885.60,1778.90,7.0,6.0,6.57,K4
R355,60.10,65.70,1086.60,2910.90,1745.90,8.5,7.0,,K4
R356,48.60,54.40,1136.90,2916.50,1728.60,7.6,6.5,5.61,K4
R357,55.10,62.50,1052.00,2834.10,1764.50,9.8,6.0,6.94,K4
R358,54.70,61.00,1100.70,2845.10,1745.55,7.0,7.0,5.91,K4
R359,44.20,51.80,1072.20,2790.00,1764.50,8.0,5.5,7.15,K4
R360,56.20,61.90,1139.30,2808.20,1738.55,9.8,5.5,,K4
R361,31.00,36.60,1213.60,2811.50,1729.00,14.7,6.0,,K4
R362,40.50,48.40,1106.70,2728.00,1760.85,12.0,0.5,7.41,K4
R363,44.40,51.40,1205.70,2749.40,1735.70,6.3,7.0,6.93,K4
R364,57.60,66.70,1117.10,2648.10,1770.05,17.2,1.5,8.62,K4
R365,48.00,56.70,1149.30,2695.50,1751.45,18.0,2.0,8.25,K4
R366,43.80,51.40,1212.90,2696.80,1737.10,12.7,0.5,,K4
R402,8.50,14.90,576.60,2466.00,2030.50,10.1,5.0,4.98,3L1
R402,70.60,86.30,576.60,2466.00,1963.75,21.5,5.0,11.71,4JG
R403,257.80,268.40,616.30,2238.20,1753.80,,,,7R
R404,49.90,57.30,602.90,1941.40,2025.50,11.7,0.1,5.11,3L1
R404,90.50,93.10,602.90,1941.40,1987.30,19.2,0.1,,3LA
R404,265.80,268.00,602.90,1941.40,1812.20,,,1.69,7R
R405,13.40,15.20,892.00,1813.80,1949.40,,,,K4
R405,44.60,47.60,892.00,1813.80,1917.60,,,,3UB
R405,100.30,103.00,892.00,1813.80,1862.05,,,2.41,3L1
R405,113.00,115.80,892.00,1813.80,1849.30,,,,3LA
R405,143.50,145.90,892.00,1813.80,1819.00,,,2.09,4JG
R406,97.80,107.20,299.60,2119.90,2043.00,,,,7R
R406,211.00,226.90,299.60,2119.90,1926.55,18.3,1.5,,8R
R408,91.00,97.50,334.71,1813.73,2013.66,20.0,5.5,5.65,7R
R408,190.70,205.50,324.19,1814.27,1910.41,20.2,1.0,12.54,8R
R411A,26.50,29.50,1202.00,1744.10,1864.60,,,2.97,K4
R411A,75.70,76.20,1202.00,1744.10,1816.65,18.4,8.0,,3UB
R411A,125.40,127.50,1202.00,1744.10,1766.15,25.5,5.5,1.93,3L1
R411A,138.00,140.70,1202.00,1744.10,1753.25,,,,3LA
R411B,32.10,33.40,1190.60,1765.30,1860.75,,,1.26,K4
R411B,71.50,81.90,1190.60,1765.30,1816.80,18.7,2.5,,3UB
R411B,131.30,133.30,1190.60,1765.30,1761.20,,,1.83,3L1
R411B,143.00,145.90,1190.60,1765.30,1749.05,,,,3LA
R411C,43.20,44.80,1181.60,1803.10,1851.90,,,1.58,K4
R411C,89.20,89.60,1181.60,1803.10,1806.50,,,,3UB
R411D,31.90,34.00,1157.00,1694.50,1865.55,27.8,0.1,2.10,K4
R411D,74.20,75.60,1157.00,1694.50,1823.60,25.8,5.5,,3UB
R411D,129.00,131.80,1157.00,1694.50,1768.10,,,2.74,3L1
R411D,142.20,145.30,1157.00,1694.50,1754.75,,,,3LA
R412B,43.10,44.30,1093.90,2011.70,1829.20,,,,3UB
R412B,91.40,95.00,1093.90,2011.70,1779.70,,,3.60,3L1
R412B,112.50,113.20,1093.90,2011.70,1760.05,,,,3LA
R417,52.50,60.10,799.10,1711.90,1895.50,,,6.57,3L1
R417,69.00,71.60,799.10,1711.90,1881.50,27.7,0.1,,3LA
R422,9.40,17.00,563.50,1746.10,2011.50,15.9,0.1,5.11,4JG
R423,21.20,23.00,1258.50,1937.40,1842.40,,,1.77,K4
R423,59.80,61.90,1258.50,1937.40,1803.65,,,,3UB
R423,115.80,116.70,1258.50,1937.40,1748.25,,,0.88,3L1
R423,133.70,143.00,1258.50,1937.40,1726.15,18.7,7.3,8.99,3LA
R423,199.20,204.20,1258.50,1937.40,1662.80,23.5,6.0,4.69,4JG
R430,13.60,15.70,980.80,2093.30,1878.05,9.0,0.1,1.92,K4
R430,46.60,48.00,980.80,2093.30,1845.40,11.6,5.0,,3UB
R430,101.70,105.60,980.80,2093.30,1789.05,23.2,6.5,3.87,3L1
R430,112.50,113.70,980.80,2093.30,1779.60,,,1.17,3LA
R432,11.00,12.20,703.79,2619.35,1955.11,,,,3UB
R432,72.00,76.20,702.25,2620.60,1892.64,14.4,5.0,3.13,3L1
R432,86.00,89.80,701.47,2621.27,1878.88,,,2.98,3LA
R432,106.10,117.00,700.27,2622.78,1855.31,13.7,7.0,8.48,4JG
R432,444.50,465.80,675.37,2654.71,1514.12,20.2,6.0,,7R
R432,508.50,527.20,670.56,2660.65,1451.89,17.1,2.5,,8R
R434,216.70,228.80,444.30,2262.00,1905.35,18.7,3.0,,7R
R434,339.70,359.70,444.30,2262.00,1778.40,14.9,2.0,,8R
R434,536.30,541.70,444.30,2262.00,1589.10,15.3,3.5,,10A
R435,16.00,21.70,814.99,3157.89,1807.16,15.5,7.5,3.90,3L1
R435,32.10,33.60,815.20,3158.33,1793.17,,,,3LA
R435,53.40,63.30,816.14,3159.42,1767.73,5.2,8.0,6.87,4JG
R435,522.00,529.60,962.27,3215.87,1329.68,16.8,7.0,,7R
R440,20.60,21.40,731.60,2984.80,1899.70,,,,3UB
R440,75.00,80.00,731.60,2984.80,1843.20,13.9,2.5,4.03,3L1
R440,88.00,90.20,731.60,2984.80,1831.60,,,1.92,3LA
R440,101.40,110.10,731.60,2984.80,1814.95,11.9,7.5,7.45,4JG
R441,18.40,19.60,816.00,2771.60,1866.40,,,,3UB
R441,95.60,102.50,816.00,2771.60,1786.35,22.4,7.0,5.92,3L1
R441,127.40,139.40,816.00,2771.60,1752.00,12.4,7.5,9.17,4JG
R462,19.10,25.80,902.90,2861.20,1824.65,12.9,1.5,5.86,K4
R462,42.80,45.60,902.90,2861.20,1802.90,,,,3UB
R462,104.00,110.30,902.90,2861.20,1739.95,25.7,5.0,,3L1
R462,123.20,125.40,902.90,2861.20,1722.80,,,1.91,3LA
R462,161.10,175.50,902.90,2861.20,1678.80,13.2,6.5,11.81,4JG
R464,53.20,55.40,954.60,2709.40,1789.40,,,,3UB
R464,107.00,112.00,954.60,2709.40,1734.20,20.1,5.0,4.74,3L1
R464,134.30,135.60,954.60,2709.40,1708.75,,,,3LA
R464,173.60,187.60,954.60,2709.40,1663.10,18.5,5.0,13.41,4JG
R465,74.80,76.00,1043.70,2793.00,1749.60,,,,3UB
R465,142.60,145.30,1043.70,2793.00,1681.05,,,2.44,3L1
R465,229.80,236.40,1043.70,2793.00,1591.90,,,,4JG
R466,9.00,12.60,829.70,2641.00,1884.00,24.8,0.1,3.20,K4
R466,28.00,29.90,829.70,2641.00,1865.85,,,,3UB
R466,93.00,99.20,829.70,2641.00,1798.70,20.1,4.5,5.59,3L1
R466,124.40,190.10,829.70,2641.00,1737.55,12.6,5.9,45.27,4JG
R466A,174.80,184.00,252.55,2468.99,2027.88,24.8,4.0,8.30,7R
R466A,230.80,244.80,226.84,2468.09,1975.46,17.9,2.0,13.19,8R
R467,51.20,64.00,264.37,2119.83,2094.98,22.0,4.0,12.20,7R
R467,140.00,153.40,223.68,2117.51,2015.76,18.0,2.0,12.10,8R
R467,247.20,251.60,179.07,2114.23,1923.32,17.0,3.0,4.01,10A
R468,58.80,61.10,915.00,2467.90,1825.35,,,,3UB
R468,111.20,116.20,915.00,2467.90,1771.60,20.1,5.0,4.72,3L1
R468,147.00,149.60,915.00,2467.90,1737.00,,,2.35,4JG
R471,11.80,14.90,828.70,2106.60,1944.35,19.8,0.1,2.77,K4
R471,28.30,29.50,828.70,2106.60,1928.80,20.3,0.1,,3UB
R471,87.20,94.40,828.70,2106.60,1866.90,17.4,5.0,6.18,3L1
R471,105.20,109.90,828.70,2106.60,1850.15,24.8,3.0,,3LA
R471,127.60,134.50,828.70,2106.60,1826.65,15.5,5.0,6.31,4JG
R474,6.70,20.20,199.15,2538.76,2196.93,12.3,0.1,,7R
R474,62.50,86.70,160.18,2542.17,2149.93,13.0,1.5,24.16,8R
R475,109.50,132.00,214.48,2534.52,2086.85,15.9,6.0,4.46,7R
R475,203.10,223.70,220.55,2532.16,1994.44,13.7,2.5,16.89,8R
R476,12.30,41.70,200.80,2539.61,2181.59,14.3,0.1,20.81,7R
R476,145.50,173.30,166.05,2547.39,2054.11,12.1,2.0,24.78,8R
R476,283.00,290.70,139.39,2548.90,1929.52,21.0,3.0,7.13,10A
R477,0.00,86.80,219.58,2341.40,2153.34,18.6,3.0,62.32,7R
R477,166.60,186.20,198.90,2339.73,2021.98,12.7,2.0,14.23,8R
R478,0.00,61.70,214.11,2341.34,2167.91,20.4,4.2,57.60,7R
R478,134.20,168.30,169.74,2337.89,2056.08,16.1,2.3,27.17,8R
R479,0.00,40.80,214.40,2341.56,2179.71,18.6,5.3,,7R
R479,113.90,147.50,150.92,2340.68,2089.56,14.3,3.0,25.70,8R
R480,22.00,25.50,74.84,2643.16,2188.14,15.5,1.5,,10A
R487,8.70,17.80,211.16,2209.96,2167.37,12.9,0.5,,7R
R487,97.70,122.80,150.77,2207.47,2091.52,17.6,1.5,17.28,8R
R487,210.90,211.70,88.61,2204.76,2011.89,,,0.77,10A
R488,17.80,34.20,240.00,2288.40,2158.00,13.1,5.4,16.39,7R
R489,12.70,23.90,221.30,2209.60,2158.70,17.1,3.5,,7R
R490,39.60,73.40,242.39,2221.57,2126.32,14.1,6.0,,7R
R491,31.30,80.90,231.64,2291.10,2134.62,14.2,5.4,,7R
R492,14.00,34.00,205.50,2480.80,2187.80,14.7,0.5,7.57,7R
R493,23.20,33.80,236.20,2403.20,2179.40,17.5,0.1,,7R
R496,40.40,46.00,497.30,2539.60,2059.80,10.6,0.1,2.50,4JG
R499,2.10,11.00,592.70,2154.20,2046.95,9.2,0.1,5.36,3L1
R500,0.10,12.50,557.50,2521.40,2047.40,15.3,0.1,3.56,3L1
R501,14.00,23.80,566.70,2521.70,2037.80,16.1,0.1,5.91,3L1
R501,28.80,29.50,566.70,2521.70,2027.55,,,,3LA
R502,22.80,28.40,576.50,2521.40,2030.50,13.5,1.0,,3L1
R502,34.20,35.20,576.50,2521.40,2021.40,,,,3LA
R503,0.00,29.40,490.20,2540.00,2088.70,11.9,0.1,28.02,4JG
R505,28.50,44.20,156.89,2512.39,2192.45,9.2,0.1,,8R
R506,54.20,97.00,157.10,2513.55,2147.07,9.4,3.5,40.76,8R
R507,22.20,82.60,214.77,2470.92,2163.36,17.0,6.4,43.75,7R
R507,149.00,175.20,166.05,2471.92,2065.11,11.4,3.0,22.33,8R
R508,31.60,39.20,236.94,2469.87,2174.32,,,,7R
R509,1.00,9.00,196.65,2459.00,2202.21,12.9,0.1,,7R
R509,63.50,84.00,153.39,2459.00,2148.79,11.8,3.0,17.08,8R
R510,0.00,14.60,198.97,2459.02,2199.22,12.6,0.1,,7R
R511,3.40,51.50,213.39,2405.77,2185.89,11.8,2.2,,7R
R511,126.40,131.20,146.14,2406.45,2110.17,18.0,2.0,2.82,8R
R512,5.30,72.40,217.22,2405.88,2170.48,12.3,4.1,53.24,7R
R513,0.00,14.20,158.27,2563.52,2206.09,11.3,0.1,,8R
R514,64.60,78.30,153.80,2231.32,2121.69,13.7,3.5,10.27,8R
R515,3.20,26.00,154.22,2447.32,2180.45,12.1,0.5,,8R
R520,9.60,54.70,245.91,2192.07,2142.59,15.5,3.1,,7R
R520,137.50,159.60,197.51,2191.74,2036.75,17.3,1.7,21.12,8R
R521,3.20,46.40,217.69,2299.31,2166.76,14.8,4.1,32.30,7R
R521,108.60,135.30,152.84,2301.29,2094.48,15.1,3.0,16.31,8R
R522,45.00,50.50,72.53,2912.40,2095.10,16.4,3.0,2.48,10A
R523,25.50,69.80,264.40,2777.60,2093.55,15.6,6.4,,7R
R523,126.40,146.80,264.40,2777.60,2004.60,11.7,3.5,11.62,8R
R524,12.40,38.60,249.03,2775.98,2120.31,14.8,5.4,24.65,7R
R524,74.20,99.00,214.89,2772.99,2069.74,11.7,3.5,24.10,8R
R525,0.00,31.20,198.42,2581.84,2174.19,13.8,0.1,10.06,7R
R525,134.00,163.40,168.38,2585.00,2044.58,17.1,2.0,28.58,8R
R526,0.00,11.00,197.20,2581.63,2185.33,11.6,0.1,0.67,7R
R526,48.80,70.00,160.92,2584.36,2145.58,11.9,3.0,19.40,8R
R527,0.00,97.00,161.85,2721.45,2123.01,9.2,3.8,71.09,8R
R528,32.20,52.20,161.77,2674.01,2136.05,10.1,3.0,17.24,8R
R529,0.00,8.20,186.13,2659.51,2162.42,16.5,0.1,,7R
R529,97.60,134.00,165.94,2674.58,2053.60,20.4,2.0,35.06,8R
R530,0.00,21.60,197.16,2784.17,2146.14,,,18.71,7R
R530,68.40,89.00,162.50,2794.39,2088.67,12.5,3.5,8.80,8R
R531,35.50,68.00,215.09,2660.61,2102.84,15.4,5.7,25.93,7R
R531,116.20,127.90,194.85,2679.52,2038.24,14.1,3.0,11.32,8R
R532,17.40,35.50,235.96,2723.42,2117.95,12.4,4.4,13.10,7R
R532,88.40,111.30,227.94,2719.33,2045.11,12.8,3.5,22.83,8R
R533,54.00,62.00,74.25,2855.45,2128.12,15.9,4.5,3.93,10A
R534,40.80,45.40,73.88,2624.60,2172.79,11.9,1.0,,10A
R535,55.60,102.40,159.91,2362.17,2087.52,12.2,3.0,13.31,8R
R536,99.80,103.60,266.70,2219.06,2068.69,16.0,4.5,2.30,7R
R537,119.50,123.70,261.87,2287.64,2056.24,11.7,6.0,2.84,7R
R540,142.50,153.20,230.88,2453.49,2062.91,17.6,6.0,9.17,7R
R540,212.00,227.20,199.47,2455.14,1998.42,11.4,4.0,13.22,8R
R543,0.00,12.50,149.99,2405.08,2166.91,8.5,2.5,,8R
R543,182.30,186.30,43.32,2414.87,2024.92,10.7,6.5,1.31,10A
R544,52.70,57.60,71.18,2457.50,2140.37,11.3,0.1,3.87,10A
R545,64.70,76.30,151.95,2453.66,2128.26,11.4,3.0,7.43,8R
R547,69.60,83.50,196.09,2575.94,2118.00,19.2,5.0,,7R
R547,139.30,174.80,149.50,2586.21,2053.20,13.0,3.4,25.42,8R
R548,56.80,86.60,207.15,2611.00,2099.57,15.9,5.0,27.61,7R
R548,135.80,148.40,201.02,2611.00,2029.44,10.5,3.0,8.89,8R
R549,36.20,70.20,198.44,2647.90,2107.86,15.3,5.1,19.88,7R
